production_budget_usd,worldwide_gross_usd
425000000,2783918982
306000000,2058662225
300000000,879620923
300000000,963420425
275000000,282778100
275000000,260002115
275000000,1084439099
260000000,586581936
258000000,890875303
250000000,1237444462
250000000,1045663875
250000000,955119788
250000000,960366855
250000000,935083686
250000000,1017003568
250000000,868160194
250000000,1151684349
250000000,1404705868
232000000,374085065
230000000,591692078
230000000,776037086
225000000,417341288
225000000,667999518
225000000,1066215812
225000000,1519479547
220000000,757890267
217000000,568923844
215000000,654213485
215000000,1671640593
210000000,322241588
210000000,459359555
210000000,1104039076
210000000,836519699
209000000,305218228
207000000,550517357
205000000,367262558
200000000,314594597
200000000,219535492
200000000,365491792
200000000,788408539
200000000,400062763
200000000,560155383
200000000,708996336
200000000,747862775
200000000,490359051
200000000,743588329
200000000,1110526981
200000000,1025491110
200000000,783705001
200000000,858470006
200000000,1215392272
200000000,1069818229
200000000,1022617376
200000000,1050988488
200000000,2207615668
195000000,197687603
195000000,397644453
195000000,1123790543
190000000,411002906
190000000,315709697
190000000,351040419
190000000,531514650
190000000,467381584
190000000,1516748684
187500000,334342692
186000000,584604126
185000000,336398312
185000000,561137727
185000000,554606532
185000000,786558145
185000000,1002572859
180000000,52573132
180000000,180047784
180000000,349143061
180000000,256585882
180000000,532590994
180000000,803798342
180000000,758536735
180000000,720539572
179000000,181982519
178000000,370541256
178000000,542742489
175000000,151716815
175000000,140012608
175000000,264246220
175000000,174131329
175000000,405760225
175000000,221229335
175000000,302469017
175000000,381687380
175000000,638087983
175000000,731542621
175000000,746100054
175000000,853707581
175000000,963901123
170000000,277442381
170000000,207283457
170000000,300150546
170000000,433058296
170000000,401021746
170000000,319090241
170000000,710644566
170000000,714401889
170000000,623561331
170000000,771100771
165000000,387644286
165000000,668913307
165000000,496511521
165000000,494870991
165000000,652127828
165000000,677541920
165000000,756244673
163000000,175910315
160000000,433125655
160000000,181674817
160000000,217986320
160000000,329809326
160000000,355408305
160000000,529076069
160000000,789300444
160000000,650523427
160000000,832584416
160000000,807330936
160000000,1260122363
156000000,113611666
155000000,167297191
155000000,440160956
155000000,418186950
152000000,225986078
151500000,449239855
151000000,708272592
150000000,39549758
150000000,123888320
150000000,331775766
150000000,142634358
150000000,205440387
150000000,238202668
150000000,194995215
150000000,305270083
150000000,235907054
150000000,328015209
150000000,292817841
150000000,287594577
150000000,319713881
150000000,484161265
150000000,490875846
150000000,397501348
150000000,427300260
150000000,370742166
150000000,664837547
150000000,402231063
150000000,374825760
150000000,599516844
150000000,449326618
150000000,700868363
150000000,359142722
150000000,644602516
150000000,626549695
150000000,475825484
150000000,624234272
150000000,639537208
150000000,585532684
150000000,738576929
150000000,896911078
150000000,942943935
150000000,1019922983
150000000,785964691
150000000,1274234980
149000000,179357126
145000000,121671925
145000000,306900902
145000000,269806430
145000000,448191819
145000000,616102924
145000000,694713230
145000000,746921271
144000000,229034050
142000000,431942139
140000000,133553464
140000000,154110769
140000000,268314513
140000000,203018919
140000000,456810575
140000000,375740705
140000000,285400000
140000000,518614384
140000000,370569776
140000000,441767803
140000000,554600000
140000000,385680446
139000000,821706375
138000000,76416746
138000000,184068357
137500000,263417913
137000000,85131830
137000000,245229234
136200000,829724737
135000000,163818556
135000000,157956466
135000000,245623848
135000000,286896578
135000000,212912137
135000000,245504574
135000000,361730660
135000000,532950503
135000000,573068425
132000000,367650911
132000000,606836535
130000000,79076678
130000000,215080810
130000000,251499665
130000000,373993951
130000000,352831065
130000000,290650494
130000000,493738435
130000000,273271982
130000000,321887208
130000000,554987477
130000000,386069390
130000000,518602163
130000000,631910531
130000000,442161562
130000000,796688549
130000000,864868047
127500000,356148063
127500000,689420051
127000000,356546621
127000000,615577068
125000000,61698899
125000000,61681268
125000000,240497948
125000000,211856088
125000000,238317814
125000000,280355920
125000000,402448265
125000000,376000000
125000000,344780046
125000000,493214888
125000000,492557218
125000000,556319450
125000000,535663443
125000000,485004754
125000000,629969804
125000000,407711549
125000000,767820459
125000000,960283305
125000000,634954103
125000000,974755371
125000000,766652288
125000000,1341511219
123000000,345141403
120000000,49628177
120000000,163018913
120000000,93394462
120000000,167117548
120000000,107212751
120000000,242981799
120000000,166000000
120000000,140845191
120000000,287916633
120000000,286192091
120000000,227200000
120000000,229545589
120000000,607987022
120000000,288215319
120000000,416197059
120000000,328711434
120000000,549588516
117000000,258751370
115000000,77628265
115000000,165149302
115000000,178200000
115000000,416456852
115000000,559757719
115000000,656695615
115000000,848998877
115000000,1027044677
113500000,132999811
112000000,232017848
110000000,72004159
110000000,167918847
110000000,218853353
110000000,150468000
110000000,76482461
110000000,127983283
110000000,152364370
110000000,171484051
110000000,348547523
110000000,177241171
110000000,263880341
110000000,296642834
110000000,229155503
110000000,302211243
110000000,208370892
110000000,330780051
110000000,215300000
110000000,339504276
110000000,362989076
110000000,295279072
110000000,382288147
110000000,563749323
110000000,469590832
110000000,486124090
110000000,579446407
110000000,695941797
109000000,87683966
109000000,133818283
109000000,887210985
108000000,663851905
105000000,10364769
105000000,403841637
105000000,269065678
105000000,270997378
105000000,298815224
105000000,348629585
103300000,232643008
103000000,362000072
103000000,457683805
102500000,212282709
102000000,130673154
102000000,358824714
102000000,594420283
100000000,98227017
100000000,7094995
100000000,59918422
100000000,103039258
100000000,90420758
100000000,128131571
100000000,97523020
100000000,91800000
100000000,209461378
100000000,82145379
100000000,95255485
100000000,69548641
100000000,121100000
100000000,139716717
100000000,171377916
100000000,145395745
100000000,96221971
100000000,212026975
100000000,278731369
100000000,243388614
100000000,249488115
100000000,99123656
100000000,311979256
100000000,169296573
100000000,325500000
100000000,234400000
100000000,262794441
100000000,391976723
100000000,212956024
100000000,170936470
100000000,236827677
100000000,267985456
100000000,365300000
100000000,310650574
100000000,449948323
100000000,331323410
100000000,362211740
100000000,336529144
100000000,513815401
100000000,878979634
99000000,250474038
98000000,435040395
97000000,183124621
95000000,110623265
95000000,88725100
95000000,94894448
95000000,65700000
95000000,263900000
95000000,169511609
95000000,104907746
95000000,223050874
95000000,294680778
95000000,159691085
95000000,879765137
95000000,534551353
94000000,404561724
94000000,273330185
94000000,934699645
94000000,1141403341
94000000,936429370
93000000,482860185
93000000,365900000
92500000,162839667
92000000,18517322
92000000,23911362
92000000,304249198
92000000,614726752
91000000,188536838
90000000,20466016
90000000,10020889
90000000,139877913
90000000,63356133
90000000,65716126
90000000,140900000
90000000,120100000
90000000,203877963
90000000,87420776
90000000,106000000
90000000,169400000
90000000,143049560
90000000,328675540
90000000,157092943
90000000,200859554
90000000,162753837
90000000,191200000
90000000,155750628
90000000,235900000
90000000,244126300
90000000,203902107
90000000,186049020
90000000,249520430
90000000,159762983
90000000,366101666
90000000,202910991
90000000,165900000
90000000,239373970
90000000,191091250
90000000,303500000
90000000,259736090
90000000,289660619
90000000,487519809
90000000,288693989
90000000,859701857
90000000,498438212
90000000,347425832
90000000,511358276
90000000,587790539
88000000,105021488
88000000,495700000
87500000,330717080
87000000,350100280
86000000,148715342
85000000,35681080
85000000,74132631
85000000,48056764
85000000,83080084
85000000,113487912
85000000,78948765
85000000,78353508
85000000,44650003
85000000,345114933
85000000,114979922
85000000,149717124
85000000,80831893
85000000,137298489
85000000,96971293
